Demand,DemandVarGroup,Margin,COGS,Capacity,Substitutability group,ProductID,c,d,loc,scale,OptimalSurplus
6973.0,1,199.695966003223,48.8,0.0,11,P36,2,4,0,2,0.0
79404.0,2,225.0454996508261,42.7,0.15,11,P37,3,4,0,2,11910.6
68818.0,2,109.6876539150401,34.6,0.15,12,P38,3,4,0,2,10322.699999999999
22962.0,3,100.9728290391834,37.8,10.0,13,P39,4,2,0,2,30765.520106511965
2726.0,1,136.289488277371,43.8,0.0,14,P40,2,4,0,2,0.0
5440.0,3,239.4223565912289,41.9,10.0,14,P41,4,2,0,2,822.5383060655822
82182.0,2,61.71726935557189,40.9,10.0,14,P42,3,4,0,2,62532.27923275408
47719.0,5,193.85874374029,44.2,10.0,14,P43,9,1,-1,2,34605.607112896694
85247.0,0,143.9599880861988,51.2,0.15,15,P44,2,25,0,7,12787.05
11090.0,0,67.01354674555067,38.9,0.0,15,P45,2,25,0,7,0.0
29270.0,0,63.62566248424945,39.2,0.15,15,P46,2,25,0,7,4390.5
12733.0,5,76.02059061217645,30.9,0.15,16,P47,9,1,-1,2,1909.9499999999998
1086.0,4,232.4850436375135,45.8,0.15,16,P48,3,2,0,1,162.9
16937.0,0,190.9091053165529,44.8,0.15,16,P49,2,25,0,7,2540.5499999999997
96900.0,4,290.2254170589761,48.4,0.15,17,P50,3,2,0,1,288.59703546751257
84514.0,2,195.7696306564763,51.7,10.0,17,P51,3,4,0,2,64421.987017436404
88486.0,3,253.2459797351315,50.5,10.0,18,P52,4,2,0,2,83867.99810027736
12418.0,2,154.3383586148979,39.6,10.0,18,P53,3,4,0,2,22222.79353223637
71146.0,2,240.1678110288029,44.8,0.15,19,P54,3,4,0,2,10671.9
58628.0,4,235.4708280573356,48.6,0.15,19,P55,3,2,0,1,8794.199999999999
79920.0,2,153.5480835110024,45.9,0.15,19,P56,3,4,0,2,11988.0
62971.0,4,95.04195516593408,39.8,0.15,19,P57,3,2,0,1,9445.65
54701.0,3,123.1125912398937,46.6,0.15,19,P58,4,2,0,2,8205.15
92276.0,2,102.5191078282186,46.5,0.15,20,P59,3,4,0,2,13841.4
93352.0,3,192.6148924151466,46.3,10.0,21,P60,4,2,0,2,71583.75262679432
9143.0,2,194.7320298049726,43.7,0.15,21,P61,3,4,0,2,112.28792691160587
57017.0,2,219.8813760632628,43.3,10.0,21,P62,3,4,0,2,42140.12811717472
33801.0,1,268.6014368149132,36.0,10.0,21,P63,2,4,0,2,23327.32540311588
64903.0,2,184.5436488046924,52.4,0.15,22,P64,3,4,0,2,9735.449999999999
82995.0,4,271.4368433666997,44.4,10.0,23,P65,3,2,0,1,63191.08387638476
45405.0,2,257.9483474574351,31.4,10.0,23,P66,3,4,0,2,32730.48540888512
38256.0,0,61.63020516262942,47.3,10.0,23,P67,2,25,0,7,26937.380369136394
62644.0,4,147.5479411091153,48.9,10.0,23,P68,3,2,0,1,46699.899002426624
5795.0,3,122.2726447015674,21.4,0.0,23,P69,4,2,0,2,0.0
64094.0,4,74.19644284305014,36.6,0.15,23,P70,3,2,0,1,222.687801841875
31020.0,1,72.16581382284244,50.6,0.15,24,P71,2,4,0,2,0.0
56790.0,5,87.80920463020374,47.2,0.15,25,P72,9,1,-1,2,3545.8614528862636
87853.0,3,93.90229525233931,39.9,10.0,26,P73,4,2,0,2,67127.70498186797
58893.0,1,105.311252635291,40.5,10.0,26,P74,2,4,0,2,43660.32185819704
16930.0,4,88.6923202955328,37.2,0.15,27,P75,3,2,0,1,0.0
29463.0,4,270.9551907800329,52.3,10.0,27,P76,3,2,0,1,0.0
80799.0,3,152.911111177073,50.0,10.0,28,P77,4,2,0,2,77638.93131603504
4661.0,4,39.6221483244363,28.1,10.0,28,P78,3,2,0,1,15937.00310094094
11049.0,2,282.4954348277138,32.6,0.15,28,P79,3,4,0,2,0.0
40188.0,2,63.64342509864336,37.5,10.0,29,P80,3,4,0,2,28502.953027801166
70558.0,3,92.83978104004387,25.4,0.0,30,P81,4,2,0,2,0.0
12909.0,3,65.87853658199131,35.0,10.0,30,P82,4,2,0,2,66187.71418067339
59934.0,2,146.7867423526215,41.4,0.15,30,P83,3,4,0,2,8990.1
8776.0,5,188.4174525363854,47.6,0.15,31,P84,9,1,-1,2,0.0
67842.0,3,92.72410321091468,52.1,10.0,31,P85,4,2,0,2,67139.38424651147
58061.0,1,57.82452853240284,58.9,0.15,32,P86,2,4,0,2,210.5671407901323
66355.0,4,74.93006914743188,48.5,0.15,32,P87,3,2,0,1,227.23028727830643
42616.0,3,45.01157945994674,50.9,10.0,32,P88,4,2,0,2,30470.453242727723
57736.0,2,184.1052896945026,30.9,0.15,32,P89,3,4,0,2,209.9141961785268
89324.0,0,234.7479101260304,50.6,10.0,32,P90,2,25,0,7,68319.71190779752
23088.0,1,109.3996003468971,43.6,10.0,33,P91,2,4,0,2,0.0
5037.0,2,147.724282121514,47.5,0.15,34,P92,3,4,0,2,104.0387251415983
18218.0,5,195.1987547656445,51.3,10.0,34,P93,9,1,-1,2,10699.831231287033
67360.0,5,216.8598687645051,28.8,10.0,35,P94,9,1,-1,2,50521.452138173605
84026.0,4,183.7805719588142,51.0,10.0,35,P95,3,2,0,1,64026.54216369497
25698.0,2,152.7697464406876,40.6,10.0,35,P96,3,4,0,2,16761.1580878153
15833.0,2,202.6856446082822,44.5,0.15,36,P97,3,4,0,2,0.0
60023.0,1,286.8683617209867,51.6,0.15,36,P98,2,4,0,2,3918.8560980894677
2954.0,1,208.9486745843119,39.5,0.0,36,P99,2,4,0,2,0.0
56315.0,5,135.2552975436791,24.3,0.15,37,P100,9,1,-1,2,8447.25
1570.0,1,102.9848514052628,41.3,0.15,37,P101,2,4,0,2,235.5
2136.0,5,174.9856540139064,48.7,10.0,38,P102,9,1,-1,2,380.0092810922917
34140.0,2,91.87448842243228,45.6,0.15,39,P103,3,4,0,2,162.5084083156192
66926.0,5,109.9691379622095,42.0,10.0,39,P104,9,1,-1,2,50169.76552644459
25869.0,1,90.26368813084602,48.4,0.15,40,P105,2,4,0,2,0.0
80764.0,3,209.3827254936251,41.9,10.0,41,P106,4,2,0,2,77610.56949250853
38492.0,1,120.9196685673224,47.2,0.15,42,P107,2,4,0,2,0.0
92822.0,4,97.42517884363085,38.4,10.0,42,P108,3,2,0,1,0.0
3676.0,3,269.3307209695247,37.3,0.0,43,P109,4,2,0,2,0.0
61572.0,4,254.6364745666875,41.5,10.0,44,P110,3,2,0,1,45831.21686469963
34098.0,1,183.2733689950946,29.9,0.15,44,P111,2,4,0,2,162.4240277811962
43332.0,2,154.9150696612255,39.1,10.0,44,P112,3,4,0,2,31050.655118299157
54509.0,4,172.6938161208927,43.1,0.15,44,P113,3,2,0,1,203.43095845036925
9256.0,3,153.3725391459031,47.2,10.0,45,P114,4,2,0,2,19660.505361067608
98678.0,3,205.7271328023646,41.9,10.0,45,P115,4,2,0,2,92126.96111120466
70468.0,4,75.45959536536918,31.9,10.0,46,P116,3,2,0,1,0.0
49485.0,5,135.7216764128761,51.0,10.0,47,P117,9,1,-1,2,36036.66369426421
30873.0,1,126.2867648116141,50.5,0.15,47,P118,2,4,0,2,155.94480817372565
39907.0,2,106.8160221416946,33.9,10.0,48,P119,3,4,0,2,28275.24810177386
60843.0,2,122.1790275371304,39.2,0.15,48,P120,3,4,0,2,216.1563466654757
97143.0,3,84.81835523398193,41.9,0.15,49,P121,4,2,0,2,14571.449999999999
71147.0,0,120.8720050671942,33.7,10.0,49,P122,2,25,0,7,83573.60786883287
89426.0,0,185.5667769105263,36.2,10.0,50,P123,2,25,0,7,68402.36636493194
4680.0,0,194.7094352553455,49.7,0.15,50,P124,2,25,0,7,103.3214905990039
15085.0,4,217.8421305653379,38.7,0.15,50,P125,3,2,0,1,124.22576347209899
67431.0,1,203.7339588712276,37.4,0.15,50,P126,2,4,0,2,229.39203620780654
62446.0,3,206.8422273451137,48.9,10.0,50,P127,4,2,0,2,46539.45211504798
25458.0,4,283.78157000588,37.3,10.0,51,P128,3,2,0,1,32788.1232928615
41835.0,0,132.9748972635847,51.0,0.15,51,P129,2,25,0,7,1820.4872125479137
24769.0,2,89.13038247807744,35.8,0.15,51,P130,3,4,0,2,1.1342927856077054
78360.0,3,212.1373168529962,29.7,0.15,52,P131,4,2,0,2,11754.0
1042.0,0,95.25130548767497,37.5,10.0,53,P132,2,25,0,7,233.48181338019157
43044.0,3,96.71898070854141,50.6,0.0,53,P133,4,2,0,2,0.0
20268.0,0,265.5636486189928,41.4,0.0,53,P134,2,25,0,7,0.0
94482.0,2,274.526328937252,43.7,0.15,53,P135,3,4,0,2,283.7391275571669
38884.0,4,177.5865375540871,29.5,10.0,53,P136,3,2,0,1,27446.272516983943
69245.0,3,275.0095714817487,29.8,10.0,53,P137,4,2,0,2,52048.93891953132
60562.0,4,58.34526786493228,36.4,0.15,53,P138,3,2,0,1,215.59180070898003
70058.0,2,259.4431349347071,48.7,10.0,53,P139,3,4,0,2,52707.74356316198
30648.0,5,49.36891025555325,38.9,10.0,53,P140,9,1,-1,2,20772.330272282514
44702.0,1,63.30746423944146,58.6,0.15,53,P141,2,4,0,2,183.72810366262829
40823.0,5,122.1533732441508,52.5,10.0,54,P142,9,1,-1,2,29017.51754035404
46287.0,2,280.7774846589911,25.2,0.15,54,P143,3,4,0,2,186.91246430692024
57944.0,2,285.9578203912559,25.3,0.0,55,P144,3,4,0,2,0.0
82930.0,2,174.9018378557591,43.6,10.0,55,P145,3,4,0,2,63138.411918406906
89185.0,2,217.2081411258573,45.6,0.15,55,P146,3,4,0,2,273.097134918168
47212.0,3,256.915185847527,49.7,0.15,56,P147,4,2,0,2,7081.8
71560.0,5,161.6241997231542,40.7,0.15,57,P148,9,1,-1,2,5249.892046654063
57099.0,3,225.1204480186248,32.9,10.0,57,P149,4,2,0,2,58433.92509949496
66395.0,1,220.5996456207784,46.2,10.0,58,P150,2,4,0,2,49739.47614665628
45791.0,3,148.8253635705594,40.8,10.0,58,P151,4,2,0,2,33043.27580549207
30552.0,0,97.6876441694441,46.8,0.15,58,P152,2,25,0,7,155.2998998034938
5088.0,2,113.0499573561518,39.6,10.0,58,P153,3,4,0,2,775.392356673755
11159.0,1,114.9525915332607,26.3,10.0,58,P154,2,4,0,2,4979.656594892245
92269.0,5,118.5764002944024,36.7,0.15,58,P155,9,1,-1,2,279.2930770172192
66135.0,0,264.2135888773505,35.6,0.15,58,P156,2,25,0,7,226.78829400275808
53009.0,0,258.8855481784238,38.1,0.0,58,P157,2,25,0,7,0.0
86682.0,5,279.6494783221744,29.8,10.0,58,P158,9,1,-1,2,66178.79940045153
21124.0,1,185.7774282618205,37.4,0.15,58,P159,2,4,0,2,136.35847888590217
73729.0,4,49.77021578061246,40.1,0.15,58,P160,3,2,0,1,242.04509825055075
53587.0,5,187.5453785212826,36.8,10.0,59,P161,9,1,-1,2,39360.6694115742
23088.0,3,137.8096405897288,46.8,0.15,59,P162,4,2,0,2,140.30427340034316
70312.0,0,76.84623586561335,41.3,10.0,60,P163,2,25,0,7,52913.56936818315
29114.0,3,110.8195587285189,39.6,10.0,60,P164,4,2,0,2,19529.27206400521
37922.0,3,182.5526319917626,42.6,10.0,61,P165,4,2,0,2,42888.17381956849
77410.0,0,213.3633106791008,36.0,0.15,61,P166,2,25,0,7,5924.812762533662
32172.0,1,199.0440350919916,44.3,10.0,61,P167,2,4,0,2,38228.73138306615
77146.0,5,193.5548820910034,49.1,0.15,61,P168,9,1,-1,2,5894.354802022169
49151.0,1,208.3958842978861,50.1,0.15,61,P169,2,4,0,2,2664.5419061163097
67089.0,2,72.35248092265041,41.9,0.0,61,P170,3,4,0,2,0.0
25225.0,3,251.148956338175,40.6,0.15,62,P171,4,2,0,2,3783.75
7402.0,5,140.5113732668244,51.0,0.15,62,P172,9,1,-1,2,1110.3
33756.0,5,271.4176487028669,41.9,0.15,63,P173,9,1,-1,2,907.7879261872305
34424.0,3,125.8534351316152,53.8,10.0,63,P174,4,2,0,2,40053.61214254498
11265.0,5,211.1607601271284,38.3,10.0,64,P175,9,1,-1,2,5065.552403286896
55305.0,2,91.38657307984221,41.2,10.0,64,P176,3,4,0,2,40752.829777819585
9640.0,4,65.068557696937,35.6,0.15,64,P177,3,2,0,1,113.28642990227655
38210.0,0,67.76575644650181,45.4,0.0,64,P178,2,25,0,7,0.0
91122.0,1,172.6553063850195,47.8,10.0,65,P179,2,4,0,2,69776.6992992464
49938.0,2,247.5220921799277,50.8,0.15,65,P180,3,4,0,2,194.24754362067983
59350.0,0,228.2944452224286,34.9,10.0,66,P181,2,25,0,7,44030.6462396721
88445.0,2,168.1638343216227,34.8,10.0,66,P182,3,4,0,2,67607.42496837396
74541.0,2,42.12876460013754,50.5,0.15,67,P183,3,4,0,2,11181.15
67385.0,2,68.6069242259568,46.0,0.0,67,P184,3,4,0,2,0.0
20062.0,1,288.5593421580146,39.5,10.0,68,P185,2,4,0,2,0.0
32525.0,2,51.12302727969018,56.1,10.0,69,P186,3,4,0,2,22293.33435111989
26942.0,5,204.9384610909196,34.9,0.15,70,P187,9,1,-1,2,4041.2999999999997
82221.0,1,218.3080719314326,46.3,0.15,71,P188,2,4,0,2,0.0
8331.0,4,90.68041969437836,53.2,0.15,72,P189,3,2,0,1,0.0
15229.0,2,121.1786442237809,50.8,0.15,73,P190,3,4,0,2,124.5150681615488
94947.0,4,156.6995806236567,48.4,10.0,73,P191,3,2,0,1,72876.24144178929
35230.0,1,272.4433272040623,48.3,10.0,73,P192,2,4,0,2,24485.298140813593
26125.0,3,121.9455936041985,39.3,0.15,74,P193,4,2,0,2,3918.75
95148.0,1,63.23893352028165,26.8,10.0,75,P194,2,4,0,2,73039.11934261308
4490.0,3,164.5351168995219,48.1,10.0,76,P195,4,2,0,2,15798.435334568438
14054.0,1,279.0051799583471,50.0,0.0,76,P196,2,4,0,2,0.0
88921.0,1,270.9798008067812,50.9,10.0,77,P197,2,4,0,2,0.0
19079.0,1,131.232399984443,45.9,0.15,78,P198,2,4,0,2,2861.85
93143.0,3,171.5125673216191,43.7,0.15,78,P199,4,2,0,2,13971.449999999999
41121.0,0,145.3149328405362,35.8,0.15,79,P200,2,25,0,7,6168.15
5591.0,4,85.71374219763734,50.7,0.15,79,P201,3,2,0,1,838.65
42292.0,2,127.8971390725314,41.5,10.0,80,P202,3,4,0,2,30207.903790653527
51111.0,2,168.8706701390764,48.5,0.15,80,P203,3,4,0,2,196.60417140349008
41641.0,2,244.9781866042515,46.9,0.15,80,P204,3,4,0,2,177.5783699514757
33669.0,3,206.4147364657556,36.3,0.15,80,P205,4,2,0,2,161.56214089387694
90404.0,4,87.09371824663593,41.2,10.0,80,P206,3,2,0,1,69194.87674804492
3900.0,0,46.62784719205979,40.5,10.0,81,P207,2,25,0,7,13877.044487698546
5906.0,1,212.7120333452231,40.8,10.0,82,P208,2,4,0,2,884.953114067263
48760.0,0,162.5963150924925,31.2,10.0,82,P209,2,25,0,7,35449.168778357336
50864.0,0,263.4201153252685,36.6,10.0,82,P210,2,25,0,7,37154.11954120971
35945.0,3,233.0551795555958,40.0,10.0,82,P211,4,2,0,2,25064.689678569983
94055.0,4,167.2820943428824,53.0,10.0,83,P212,3,2,0,1,72153.42011077011
92260.0,1,41.43040739054084,39.1,0.15,83,P213,2,4,0,2,279.2749954741283
50139.0,5,249.8033208750875,50.4,10.0,83,P214,9,1,-1,2,36566.62462530286
83255.0,4,156.663328761562,41.9,0.15,84,P215,3,2,0,1,0.0
56318.0,1,217.1676899427899,45.7,0.15,84,P216,2,4,0,2,0.0
84925.0,2,205.8307626191238,36.9,10.0,85,P217,3,4,0,2,64755.03585941945
9139.0,1,136.3967635663182,37.5,0.15,85,P218,2,4,0,2,112.27989067023219
46440.0,0,287.2387008912896,24.9,10.0,85,P219,2,25,0,7,33569.18504745555
88271.0,1,111.4938544560151,37.9,10.0,86,P220,2,4,0,2,67466.42618855627
30854.0,5,270.2679161802827,47.8,10.0,86,P221,9,1,-1,2,20939.259862181563
44288.0,0,100.4793505493467,40.2,10.0,86,P222,2,25,0,7,31825.338069481113
41586.0,3,82.07567006779121,46.4,0.15,87,P223,4,2,0,2,177.46787163258853
63345.0,2,216.8892596143188,42.8,0.15,87,P224,3,4,0,2,221.183015644667
84286.0,4,91.65248697078252,50.7,10.0,87,P225,3,2,0,1,64237.22999560643
9109.0,0,265.1230703700489,47.2,10.0,87,P226,2,25,0,7,3318.4640740522805
40892.0,5,227.2351009363637,38.9,0.15,87,P227,9,1,-1,2,176.07358375426782
21964.0,1,80.70875505993439,47.2,0.0,88,P228,2,4,0,2,0.0
81629.0,0,274.3251158736821,35.0,10.0,89,P229,2,25,0,7,62084.162421034816
89651.0,4,265.4046473698813,47.2,10.0,90,P230,3,2,0,1,0.0
10372.0,4,96.19789345954426,45.1,0.15,91,P231,3,2,0,1,1555.8
28549.0,4,247.4578075313789,50.7,10.0,91,P232,3,2,0,1,49043.930600521366
52665.0,3,199.0850166234104,42.4,0.15,91,P233,4,2,0,2,7899.75
75194.0,1,58.66950732775429,51.9,10.0,92,P234,2,4,0,2,56869.63858122739
86233.0,4,186.9942375856961,51.4,0.15,92,P235,3,2,0,1,267.16638878444604
5907.0,1,92.42380177704248,46.0,10.0,92,P236,2,4,0,2,885.08705142349
43964.0,0,166.1994430553578,45.8,10.0,93,P237,2,25,0,7,74804.83175783191
25427.0,1,250.31401249486,45.1,0.15,93,P238,2,4,0,2,3814.0499999999997
89170.0,3,232.8385997109818,35.3,0.15,93,P239,4,2,0,2,13375.5
82929.0,2,257.58867414532,38.7,0.15,93,P240,3,4,0,2,12439.35
66796.0,4,107.3105032454532,40.7,10.0,94,P241,3,2,0,1,0.0
29253.0,1,123.9803240543975,56.5,0.15,95,P242,2,4,0,2,0.0
10326.0,5,95.25639457024059,53.4,0.15,96,P243,9,1,-1,2,114.66464529785006
28783.0,5,285.8338281657922,36.6,10.0,96,P244,9,1,-1,2,19261.05024722567
18123.0,5,63.99930721316454,39.4,0.15,96,P245,9,1,-1,2,130.32928879535348
51784.0,5,74.37870554843238,44.6,0.15,97,P246,9,1,-1,2,2968.313913793401
76284.0,3,116.4521420681118,48.9,10.0,98,P247,4,2,0,2,57752.906799625234
54071.0,4,161.1571391706229,54.8,10.0,98,P248,3,2,0,1,39752.87291405542
18799.0,4,237.1990468508105,27.8,10.0,99,P249,3,2,0,1,0.0
9644.0,4,106.9952169170384,31.7,0.0,99,P250,3,2,0,1,0.0
59990.0,1,61.12452172220381,38.0,0.15,99,P251,2,4,0,2,0.0
8497.0,4,60.33790640595038,41.7,10.0,100,P252,3,2,0,1,2822.5373312454253
38285.0,2,247.9050376612309,40.8,10.0,100,P253,3,4,0,2,26960.88016577265
14098.0,4,287.3581129733138,31.0,10.0,100,P254,3,2,0,1,7361.239433306225
91490.0,4,153.1916179306114,48.1,10.0,100,P255,3,2,0,1,70074.90361518254
29098.0,0,171.6415212282673,49.8,10.0,100,P256,2,25,0,7,19516.3066589645
49230.0,2,64.71531278620964,48.5,0.15,101,P257,3,4,0,2,7384.5
62126.0,1,103.052535552791,29.9,0.15,102,P258,2,4,0,2,4161.4814426184885
66229.0,1,213.0380294012039,51.4,10.0,103,P259,2,4,0,2,49604.96006935899
26968.0,1,286.2990801962154,42.5,0.15,103,P260,2,4,0,2,148.09942753274183
16522.0,4,183.903813217857,43.3,0.0,103,P261,3,2,0,1,0.0
49877.0,1,226.0816778457383,40.0,0.0,103,P262,2,4,0,2,0.0
35433.0,5,122.756498986288,47.1,0.15,104,P263,9,1,-1,2,5314.95
1742.0,5,185.2438764855722,38.6,0.0,104,P264,9,1,-1,2,0.0
43839.0,4,101.6032427476439,28.9,0.0,104,P265,3,2,0,1,0.0
98926.0,5,288.1326216751128,40.1,0.15,104,P266,9,1,-1,2,14838.9
95813.0,5,56.9481405744853,52.8,0.0,104,P267,9,1,-1,2,0.0
16844.0,1,63.2885353710101,49.1,0.15,105,P268,2,4,0,2,0.0
71531.0,2,86.15804445592138,50.3,10.0,106,P269,3,4,0,2,53901.37116472166
80164.0,3,225.3609777480481,52.5,0.15,107,P270,4,2,0,2,12024.6
32347.0,2,255.6136093912198,49.2,10.0,108,P271,3,4,0,2,22149.094220042087
2973.0,1,138.9640957335805,26.7,0.15,109,P272,2,4,0,2,99.89202459281705
64669.0,4,111.300786109971,38.3,0.15,109,P273,3,2,0,1,223.84301153933103
54988.0,4,122.4487826700273,36.7,10.0,109,P274,3,2,0,1,40495.95269045067
79041.0,2,54.76177252583376,32.1,0.15,109,P275,3,4,0,2,252.71722679470085
29630.0,2,262.3812839114952,37.0,0.15,110,P276,3,4,0,2,491.5363526459936
96529.0,1,140.271259533417,49.2,0.15,110,P277,2,4,0,2,8130.592107303231
64549.0,3,123.1774026366196,37.6,10.0,111,P278,4,2,0,2,48243.592540085214
13544.0,4,140.0231448586235,41.8,10.0,111,P279,3,2,0,1,6912.312283771907
20621.0,0,238.6776890899467,43.0,0.15,111,P280,2,25,0,7,135.34792153317102
28542.0,5,175.6131762728939,41.0,0.15,111,P281,9,1,-1,2,151.26168851325633
20244.0,4,106.0658150439392,41.9,10.0,111,P282,3,2,0,1,12341.575644565935
78481.0,4,104.9691568580944,50.5,10.0,112,P283,3,2,0,1,59533.218979276644
35611.0,3,170.5954955886164,29.9,0.15,112,P284,4,2,0,2,165.4637360807632
40652.0,1,247.6984575714907,49.4,0.15,113,P285,2,4,0,2,0.0
56032.0,4,239.0773197341152,48.0,0.0,114,P286,3,2,0,1,0.0
41142.0,1,282.592552828304,46.6,0.15,114,P287,2,4,0,2,1740.5350662052529
3950.0,0,61.45032540205051,37.8,0.15,114,P288,2,25,0,7,0.0
77905.0,1,46.89670137907406,39.5,10.0,115,P289,2,4,0,2,0.0
92659.0,0,106.2137719215652,46.3,10.0,116,P290,2,25,0,7,71022.18852096888
41653.0,4,288.3850987059304,50.7,10.0,117,P291,3,2,0,1,29690.097926840463
86315.0,5,213.0415627354574,51.6,0.0,117,P292,9,1,-1,2,0.0
37989.0,4,176.6637236878295,39.2,0.15,117,P293,3,2,0,1,170.24128157737258
37216.0,2,163.9468294645677,47.7,0.15,118,P294,3,4,0,2,5582.4
56808.0,1,41.67278427646375,46.1,0.0,118,P295,2,4,0,2,0.0
64560.0,3,162.60050362021,44.8,0.15,118,P296,4,2,0,2,9684.0
28657.0,4,167.6678139272599,36.6,10.0,118,P297,3,2,0,1,49131.44708454612
27351.0,5,94.67872615109988,56.0,0.15,118,P298,9,1,-1,2,4102.65
62283.0,4,192.9207465421334,53.6,10.0,119,P299,3,2,0,1,0.0
56279.0,2,167.3438859887785,45.1,0.15,120,P300,3,4,0,2,8441.85
87453.0,5,60.352096942477,49.5,0.15,120,P301,9,1,-1,2,13117.949999999999
41241.0,0,190.0564642727327,44.4,10.0,121,P302,2,25,0,7,29356.238747042386
70132.0,4,232.0254816271147,37.6,0.0,122,P303,3,2,0,1,0.0
36192.0,4,158.5972313477469,25.2,0.15,122,P304,3,2,0,1,1169.4483066148268
92961.0,3,192.3140847939613,35.1,10.0,122,P305,4,2,0,2,87494.25982259882
4149.0,5,272.2892780903137,49.7,0.15,123,P306,9,1,-1,2,102.2546795566575
23508.0,3,150.3423512181749,41.5,10.0,123,P307,4,2,0,2,14986.518272869178
69237.0,4,187.55786840901,36.1,10.0,123,P308,3,2,0,1,52042.45621701099
12707.0,5,133.4646990162917,38.3,10.0,124,P309,9,1,-1,2,6234.059532580179
81633.0,0,101.1607927074649,46.7,10.0,124,P310,2,25,0,7,62087.40377229496
76510.0,0,287.843849480392,40.3,0.15,125,P311,2,25,0,7,11476.5
50963.0,3,85.27438183700943,37.3,0.15,126,P312,4,2,0,2,7644.45
6495.0,4,140.2642933734214,31.2,10.0,127,P313,3,2,0,1,1200.2410255275674
12729.0,0,261.2472339323497,36.1,10.0,127,P314,2,25,0,7,6251.886964511148
72616.0,1,58.52170548064379,42.4,10.0,128,P315,2,4,0,2,71007.93697553089
86956.0,3,168.5423538748691,48.3,0.15,128,P316,4,2,0,2,7026.14492557411
96818.0,0,245.2415233484069,51.6,0.15,128,P317,2,25,0,7,8163.934344378306
78782.0,2,90.3666252328994,36.3,10.0,128,P318,3,4,0,2,76004.47994309154
71802.0,4,70.8195127885223,49.6,10.0,129,P319,3,2,0,1,54120.97271259853
42247.0,5,122.8531410571425,30.7,0.15,129,P320,9,1,-1,2,178.79586051957705
46294.0,2,232.3709203540576,38.8,10.0,130,P321,3,4,0,2,33450.87572645914
6849.0,3,197.401810527949,49.7,0.0,131,P322,4,2,0,2,0.0
